route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,06
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,06
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,06
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,06
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,06
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,06
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,06
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,06
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,06
1,True,1,HND,17:45,SFO,11:30,UA 876,"Non Stop, 09h 45m",United Airlines ,1,"LM 47,000",+ US$ 66.40,Sep,9,07
1,True,1,HND,17:45,SFO,11:30,UA 876,"Non Stop, 09h 45m",United Airlines ,2,,,Sep,9,07
2,False,1,HND,15:45,IAD,15:35,UA 804,Non Stop,UNITED AIRLINES,1,"LM 34,590",,Sep,9,07
2,False,1,HND,15:45,IAD,15:35,UA 804,Non Stop,UNITED AIRLINES,2,,,Sep,9,07
2,False,2,IAD,22:05,SFO,00:52,UA 2172,Non Stop,UNITED AIRLINES,1,"LM 12,410",,Sep,9,07
2,False,2,IAD,22:05,SFO,00:52,UA 2172,Non Stop,UNITED AIRLINES,2,,,Sep,9,07
1,True,1,HND,17:45,SFO,11:30,UA 876,"Non Stop, 09h 45m",United Airlines ,1,"LM 47,000",+ US$ 66.40,Sep,9,08
1,True,1,HND,17:45,SFO,11:30,UA 876,"Non Stop, 09h 45m",United Airlines ,2,,,Sep,9,08
2,False,1,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",1 Seats left,Sep,9,08
2,False,1,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,08
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,08
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,08
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,08
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,08
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,08
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,08
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,08
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,08
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,08
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,08
5,False,1,HND,09:00,ITM,10:05,NH 17,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,08
5,False,1,HND,09:00,ITM,10:05,NH 17,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,08
5,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,08
5,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,08
1,True,1,HND,17:45,SFO,11:30,UA 876,"Non Stop, 09h 45m",United Airlines ,1,"LM 47,000",+ US$ 66.40,Sep,9,09
1,True,1,HND,17:45,SFO,11:30,UA 876,"Non Stop, 09h 45m",United Airlines ,2,,,Sep,9,09
2,False,1,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,09
2,False,1,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,09
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,09
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,09
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,09
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,09
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,09
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,09
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,09
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,09
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,09
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,09
5,False,1,HND,09:00,ITM,10:05,NH 17,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,09
5,False,1,HND,09:00,ITM,10:05,NH 17,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,09
5,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,09
5,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,09
1,True,1,HND,17:45,SFO,11:30,UA 876,"Non Stop, 09h 45m",United Airlines ,1,"LM 47,000",+ US$ 66.40,Sep,9,10
1,True,1,HND,17:45,SFO,11:30,UA 876,"Non Stop, 09h 45m",United Airlines ,2,,,Sep,9,10
2,False,1,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,10
2,False,1,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,10
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,10
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,10
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,10
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,10
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,10
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,10
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,10
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,10
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,10
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,10
5,False,1,HND,09:00,ITM,10:05,NH 17,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,10
5,False,1,HND,09:00,ITM,10:05,NH 17,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,10
5,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,10
5,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,10
1,True,1,HND,17:45,SFO,11:30,UA 876,"Non Stop, 09h 45m",United Airlines ,1,"LM 47,000",+ US$ 66.40,Sep,9,11
1,True,1,HND,17:45,SFO,11:30,UA 876,"Non Stop, 09h 45m",United Airlines ,2,,,Sep,9,11
2,False,1,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,11
2,False,1,HND,13:20,KIX,14:45,NH 991,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,11
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,11
2,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,11
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,11
3,False,1,HND,12:00,ITM,13:05,NH 23,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,11
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,11
3,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,11
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,1,"LM 5,550",,Sep,9,11
4,False,1,HND,11:00,ITM,12:05,NH 21,Non Stop,ALL NIPPON AIRWAYS,2,,,Sep,9,11
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,1,"LM 41,450",,Sep,9,11
4,False,2,KIX,16:50,SFO,11:00,UA 34,Non Stop,UNITED AIRLINES,2,,,Sep,9,11
