route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
5,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,2,,,Oct,10,12
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1,"LM 40,000",+ US$ 66.80,Oct,10,13
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2,,,Oct,10,13
2,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,1,"LM 8,940",1 Seats left,Oct,10,13
2,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,2,,,Oct,10,13
2,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,1,"LM 31,060",1 Seats left,Oct,10,13
2,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,2,,,Oct,10,13
3,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,1,"LM 8,940",3 Seats left,Oct,10,13
3,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,2,,,Oct,10,13
3,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,1,"LM 31,060",3 Seats left,Oct,10,13
3,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,2,,,Oct,10,13
4,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,1,"LM 8,950",1 Seats left,Oct,10,13
4,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,2,,,Oct,10,13
4,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,1,"LM 31,050",1 Seats left,Oct,10,13
4,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,2,,,Oct,10,13
5,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,1,"LM 8,950",2 Seats left,Oct,10,13
5,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,2,,,Oct,10,13
5,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,1,"LM 31,050",2 Seats left,Oct,10,13
5,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,2,,,Oct,10,13
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1,"LM 40,000",+ US$ 66.80,Oct,10,14
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2,,,Oct,10,14
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,1,"LM 40,000",,Oct,10,14
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,2,,,Oct,10,14
3,False,1,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,1,"LM 6,380",1 Seats left,Oct,10,14
3,False,1,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,2,,,Oct,10,14
3,False,2,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1,"LM 33,620",,Oct,10,14
3,False,2,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2,,,Oct,10,14
4,False,1,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,1,"LM 6,380",,Oct,10,14
4,False,1,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,2,"LM 6,880",1 Seats left,Oct,10,14
4,False,2,ICN,16:50,SFO,11:35,UA 892,Non Stop,UNITED AIRLINES,1,"LM 33,620",,Oct,10,14
4,False,2,ICN,16:50,SFO,11:35,UA 892,Non Stop,UNITED AIRLINES,2,,,Oct,10,14
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1,"LM 40,000",+ US$ 66.80,Oct,10,15
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2,,,Oct,10,15
2,False,1,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,1,"LM 6,380",3 Seats left,Oct,10,15
2,False,1,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,2,,,Oct,10,15
2,False,2,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1,"LM 33,620",,Oct,10,15
2,False,2,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2,,,Oct,10,15
3,False,1,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,1,"LM 6,380",,Oct,10,15
3,False,1,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,2,"LM 6,880",2 Seats left,Oct,10,15
3,False,2,ICN,16:50,SFO,11:35,UA 892,Non Stop,UNITED AIRLINES,1,"LM 33,620",,Oct,10,15
3,False,2,ICN,16:50,SFO,11:35,UA 892,Non Stop,UNITED AIRLINES,2,,,Oct,10,15
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1,"LM 40,000",+ US$ 66.80,Oct,10,16
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2,,,Oct,10,16
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,1,"LM 40,000",,Oct,10,16
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,2,,,Oct,10,16
